NOMBRE_COMPANIA|COMISION_COMPANIA|IDENTIFICACION_EMPLEADO|TELEFONO_EMPLEADO|NOMBRE_EMPLEADO|NUMERO_CUENTA|NUMERO_TARJETA|OPERADOR_TARJETA|VENCIMIENTO_TARJETA|SALDO_CUENTA|MONEDA|COTIZACION_USD
TechNova|6.0|587-76-7905|(559)254-9728x3417|Bruce Ward|8d668a85-9a98-4abb-97bc-5ab6d723deef|180090892634091|UnionPay|11/27|94688.71|Dolar Canadiense|0.75
Skyline Ltd|1.74|002-85-5223|131-860-6943x28158|Roy Rios|535ee95b-9b82-4264-a49c-115c821a1f2e|3526044107445063|UnionPay|03/25|75470.43|Pesos Argentinos|0.0028
TechNova|19.54|635-06-3232|+1-021-386-6511x351|Cassie Hogan|089c1df8-fb6b-494e-bd46-99c8ddee3180|3589916983854860|American Express|09/28|90933.43|Dolar Canadiense|0.75
Prime Dynamics|3.09|112-73-0003|+1-615-480-0521x3580|Kimberly Young|bc728cf7-e30f-428b-aee5-3f471ceb3ef2|4110157667554|American Express|04/25|17894.13|Euro|1.1
TechNova|4.85|791-17-7346|852-650-7692|Robert Allen|fcb835dd-efb8-4ca6-91b2-7b4e6211e335|3593813192673492|UnionPay|10/25|56347.92|Dolar|1
GreenWave Inc.|19.38|005-64-0960|2072362032|Michelle Clark|5bb8a0ae-c191-4c47-a2d7-07fd20b524a8|5580368790786402|UnionPay|08/28|96695.19|Yen|0.007
NextGen Ventures|19.82|722-94-2862|313.705.6162x6986|Troy Gutierrez|99999f19-59f6-43a9-ae7b-9e08445976ea|4615087469775788304|Visa|12/27|42585.34|Real|0.19
Visionary Labs|18.26|236-32-5044|664-420-3297x388|Kathleen Mckay|755d8324-08dd-44f7-b16f-651132f9a928|676287009135|American Express|10/29|35428.41|Yen|0.007
GreenWave Inc.|3.37|080-70-3957|(694)234-9974|Michael Perez|03e2b5d5-7ab5-4bc2-a3f6-4bf0e6fa0f6a|3533082495343087|UnionPay|07/25|87750.42|Libra|1.3
Visionary Labs|9.62|505-35-8835|056.678.5644|Sarah Morgan|599b11b0-d16a-4e98-949d-1d714ce8f870|4051659775822069316|American Express|02/26|20708.38|Dolar|1
Apex Solutions|4.54|803-26-4955|794-340-8239x559|Mrs. Madeline King|f52ec305-c964-42f5-86b5-e2ec98b812fe|6506061735027870|Mastercard|06/28|29791.64|Euro|1.1
EcoSolutions|15.51|519-05-2140|(371)018-0085|Heidi Robinson|b5b4e9c6-fe1d-4b91-8f4b-7cfcbea2dbd7|213193440372353|UnionPay|05/25|3288.83|Yen|0.007
BluePeak Systems|3.78|064-83-7408|860-080-2813x78883|Jeremy Martinez|1e131509-364e-4b72-ad91-99f4e985c6ff|503873715869|American Express|10/29|21880.3|Dolar|1
Prime Dynamics|14.1|455-98-9338|314.676.2449|Daniel Mathews|4b564294-154c-415e-b0fb-231eefc7eddf|4016517057701|Discover|03/27|86168.15|Dolar Canadiense|0.75
Visionary Labs|5.74|578-87-4450|298.448.1166|Tammy Brown|e19cd4a8-6331-46bc-8d35-870a2d318eea|374677666412880|Mastercard|08/29|73990.05|Real|0.19
Prime Dynamics|13.62|628-75-6865|001-052-684-0500x035|Daniel Williams|2ac8e2c2-f49a-4b28-abb6-08a686577f7e|4588461726905298|American Express|12/28|44961.3|Libra|1.3
Prime Dynamics|5.28|342-01-0013|389-826-9797x335|Mr. Terry Jordan|bc5849db-0f86-4c7c-8d4a-7f02ec26ad3c|4447910046863069804|UnionPay|08/27|53579.79|Dolar|1
Prime Dynamics|13.05|509-32-5948|+1-599-003-7674|Ryan Winters|fdd798c7-4cdf-41cb-b7e4-91bd105b8f2a|4138953276150121165|Mastercard|01/29|81272.14|Dolar Canadiense|0.75
GreenWave Inc.|17.82|396-23-5244|083.459.3268x9441|Kelly Santos|33120eed-7c8c-4b52-866f-cb2bca896d3b|344539651070312|UnionPay|05/27|37206.91|Libra|1.3
NextGen Ventures|4.1|690-15-9272|604-196-3853x271|Nicole Martinez|590d4d5c-7fc5-4f2b-9eeb-99a87af00142|4732529046603812|Discover|02/29|21771.47|Euro|1.1
Visionary Labs|5.34|884-23-3768|706.143.9631x116|Tracy Griffith|045bcafd-67b2-4057-976e-46d8c6c1e1a9|4158390602121753928|American Express|03/27|6112.48|Libra|1.3
Skyline Ltd|1.51|836-11-6825|459-813-3662x91334|Natasha Roberts|a3903bf1-15e1-41f8-b134-5c2a01a73bc0|639006640614|Discover|12/24|97712.47|Dolar Canadiense|0.75
NextGen Ventures|1.87|116-73-0333|006-898-2711x9063|Robert Smith|ebbc2336-864b-471b-88e1-481edf9a374c|2233758559066699|American Express|01/29|74957.33|Libra|1.3
Prime Dynamics|16.77|427-42-2494|3366274880|Frederick Wiley|25801a1d-73a0-426b-a40d-6ba6ec2c4733|6521356552393616|UnionPay|03/28|95863.26|Libra|1.3
GlobalCorp|3.61|789-76-9200|+1-934-029-4558x5967|Hannah Wright|ba9c6782-5ea9-4caf-b037-38a7b33f8a9e|4305815490142747|Visa|05/27|96903.9|Euro|1.1
Visionary Labs|7.58|863-10-8780|929-118-3902|Gabrielle Hensley|cc1f111d-d09e-4bbc-8ac3-af81fe2a079c|5592524874380431|UnionPay|11/27|56679.91|Dolar|1
GreenWave Inc.|9.49|201-49-8084|409-243-4423x52811|Dr. Bradley Hall DDS|6ee2a057-5e4c-4347-a2e7-4a5a8badaf37|4400144566298190|American Express|06/28|49242.26|Yen|0.007
Prime Dynamics|14.05|461-46-4938|001-717-616-1474|Larry Carroll|dba04e8a-d446-4729-bbc0-687dea1bad23|4281335447787|UnionPay|03/25|18868.02|Pesos Argentinos|0.0028
Apex Solutions|8.38|351-36-4818|(879)046-0313x48306|Leslie Walker|9be8a8b2-74ba-40d0-9add-560ce9c25051|2251966171042579|Visa|11/26|80903.72|Real|0.19
NextGen Ventures|4.45|218-38-5770|227.372.2540|Robert Jones|7b172199-5194-4195-b201-790b294ab312|30363780516494|Visa|10/29|64295.31|Libra|1.3
BluePeak Systems|9.25|068-83-8171|(312)106-1595x125|Kim David DVM|2133a748-b9da-416a-be73-179310dfd9bb|4622054334708481|Visa|12/25|47943.22|Yen|0.007
BluePeak Systems|12.79|638-82-0216|296.027.6787|Monica Beltran|515c79dc-7cae-4b84-82a1-ae806f64ea26|4714163115166634|Discover|10/27|23563.81|Dolar|1
GreenWave Inc.|18.29|822-64-0696|824-490-2028x45694|Darryl Rivera|27ebad7e-d3a5-43bd-91ef-f1bfe55fb841|4204243896167766|Discover|06/28|33100.91|Real|0.19
TechNova|17.21|091-02-3460|039-226-2369x8020|Lindsey Anderson|effd53fe-b639-4084-b61d-9083fcd26a42|4963110438805818535|Visa|06/29|77114.87|Dolar Canadiense|0.75
Visionary Labs|19.32|074-58-7935|899.799.7391x8809|Amanda Coleman|e6bebf49-3657-4fd9-9003-1454748a41be|6530506937919142|Mastercard|05/28|40217.41|Dolar|1
TechNova|15.69|132-91-4662|026.835.0267|James Turner|e7d5fe3e-cf49-4c58-8af5-4265c4eadccc|4269253805660315279|Visa|07/29|82024.71|Libra|1.3
Apex Solutions|16.2|102-92-8906|001-178-570-2827x37264|Amy Owens|982d8d1c-c86e-4613-ba35-fb1f6c7ff36c|4126913674486|American Express|12/25|25239.42|Yen|0.007
Skyline Ltd|18.32|073-93-7175|(632)510-4351x23860|Adrienne Golden|77ff0878-8c3f-4448-ba0e-53172e1be854|3591688809113161|Discover|10/29|16535.62|Euro|1.1
EcoSolutions|17.46|756-74-0635|(596)078-4570x4044|Matthew Cordova|b337b68c-cd5c-440a-becb-e155f6ee2dfc|4337610822126|Visa|03/28|35750.99|Pesos Argentinos|0.0028
Prime Dynamics|11.08|563-71-3225|733.142.9064x488|Kirsten Liu|320c3ac3-541b-45a6-9431-7036c8d55ec3|36485619171250|Mastercard|01/28|14850.98|Dolar|1
NextGen Ventures|19.5|071-53-4538|001-624-849-0848x2736|Amanda Bush|e21221fd-b72e-4d95-8530-059cbaade2b4|4941972941505|Mastercard|04/26|67363.66|Dolar Canadiense|0.75
Visionary Labs|0.69|181-55-5617|012-556-0519x95952|William Singh|bb827af4-e4cf-42b8-b5b1-808c3a8ecd8d|3527678473650761|UnionPay|02/26|29500.62|Dolar Canadiense|0.75
Prime Dynamics|0.5|622-38-5148|132.960.7545|Karen Rodriguez|7c77cdc5-aff0-4dbb-8fab-a7cb905f577e|584693639190|Discover|09/25|21540.48|Dolar|1
GlobalCorp|12.55|667-35-9624|6456256991|Nancy Castro|50943930-fbea-4648-a169-b421e40d127e|6545192733172096|American Express|06/26|80949.06|Real|0.19
GreenWave Inc.|16.86|365-95-0902|001-432-185-7919x9500|Victoria Garcia|6363b30f-a16a-484b-887d-e1131f241c0a|6569549990343804|Visa|04/29|74204.62|Yen|0.007
TechNova|7.95|507-85-0085|001-800-125-7781x62872|Jackie Martin DVM|d20fa7d8-ec45-4f35-a54d-6174755b5805|30076910791197|Visa|03/26|91822.67|Libra|1.3
Prime Dynamics|12.97|872-85-7201|(901)065-5156|Todd Brown Jr.|c1bcf2a5-8d19-46c7-a13c-06b53dab0434|4076829026118839|Mastercard|01/27|54623.93|Dolar|1
NextGen Ventures|9.36|612-04-1883|+1-109-535-1525x39088|Kevin Cantu DDS|6edc2b38-0921-437c-a000-c08d630c1caf|372827520245537|Mastercard|03/27|7836.87|Dolar Canadiense|0.75
Prime Dynamics|5.55|599-53-4713|+1-590-742-4307x4701|Robert Kane|b493e561-6eb2-49f9-a1ba-1a19a987744f|4636124142829763|UnionPay|02/28|41058.88|Real|0.19
Skyline Ltd|16.86|425-30-9211|165-476-6567|Andrew Campbell|ad1cbd9b-e677-4884-931a-76c5e28bc8fd|213154571992096|Visa|10/25|82089.18|Libra|1.3
Apex Solutions|19.11|404-32-0039|341-664-1034x8018|Samantha Perez|c3259889-cde7-4319-a778-8b234d817bff|4113710725661|American Express|09/27|59949.88|Libra|1.3
Skyline Ltd|18.07|898-60-2227|+1-903-631-4819x476|Jamie Garcia|c72ef54e-bff3-4665-91bc-68c66222ea47|6011155422903142|Mastercard|03/25|4435.52|Euro|1.1
BluePeak Systems|2.75|235-23-7144|+1-965-179-1679x0127|Patricia Baker|f22ef97d-a94e-4eb8-8735-171133282b50|3542117042262312|Discover|03/28|70214.65|Yen|0.007
TechNova|11.85|154-25-2684|599.106.0644x5888|Harry Mcguire|1c79f102-6f9c-49fd-9bd1-e352127d5259|2280386191819408|American Express|03/28|31571.8|Dolar Canadiense|0.75
GlobalCorp|1.61|029-74-8369|(615)372-0138x2849|Cody Woods|95451237-1902-430c-9a13-50ba9ccc8054|4618865911243793376|Mastercard|07/26|30492.85|Yen|0.007
Prime Dynamics|11.73|640-26-3223|648-834-9799x273|Gary Sims|b6e1831f-6e40-435a-bdaa-728688527ee0|36270073398361|Mastercard|12/24|409.72|Dolar|1
Skyline Ltd|10.61|866-83-3965|388.865.8710x7313|Bethany Wade|ba95a783-84ea-47f8-b2ff-97d3981172d1|3550429185687992|Discover|10/29|12767.25|Pesos Argentinos|0.0028
GreenWave Inc.|9.61|296-10-1670|530.186.8939x5675|Patrick Ingram|749c1047-3b77-443f-8da6-688de15d274f|2384332257574409|Mastercard|08/28|21375.72|Real|0.19
GlobalCorp|1.66|336-46-9792|502.315.6231|Frederick Johnston|64026a5d-c6e8-49dc-9a59-27903d6f38c4|4092107038375568|Discover|08/29|48835.38|Dolar|1
GlobalCorp|2.96|878-45-5351|001-314-420-3547|Troy Blackwell|fa6eaef6-c290-4121-b03f-6fd56743fc03|3526660794612382|Discover|11/27|79098.54|Libra|1.3
BluePeak Systems|2.9|413-79-2098|001-845-968-6459x060|Jesse Perry|66a5592b-12f4-4afc-9dd1-49e71815cb47|3521362498734431|Discover|10/26|55811.74|Euro|1.1
EcoSolutions|3.07|516-47-3856|9449784866|Aaron Anderson|d595f167-7064-4ef2-8df5-ae983d0d1951|5334697060517439|American Express|09/27|41258.96|Dolar|1
Skyline Ltd|7.01|475-51-8118|4517594939|Larry Lee|c90ff339-9350-484b-bf18-a3ef70521151|4376658272189435548|Discover|08/25|77901.8|Real|0.19
TechNova|4.91|422-69-1419|634.223.2134x40816|Louis Nguyen|f51ae79a-b34a-4d09-b0bc-8bd39a845310|5361820793266498|Discover|03/28|71903.16|Libra|1.3
Skyline Ltd|10.16|447-63-1357|(411)774-7958|David Alvarez|d81d3118-6286-47bd-ac41-000c9d6f477d|630412307781|Visa|01/28|17379.4|Libra|1.3
BluePeak Systems|13.15|359-65-9580|001-975-430-8951x2752|Jessica Cortez|c63894c4-29cf-49ae-8453-956da9f2c5a5|4272164708586083|American Express|04/27|53998.48|Real|0.19
GlobalCorp|8.15|786-92-9334|+1-490-924-2477x97407|Christopher Williams|4f36d3bd-f8e1-4664-8cab-fc6d68b38ecd|4036318348893|UnionPay|07/29|6684.23|Yen|0.007
NextGen Ventures|11.91|806-27-6645|+1-211-969-3490x17975|Amy Lopez|306c23e2-4389-4a6c-b73d-20393d022269|2700255303421258|American Express|11/25|48989.45|Yen|0.007
TechNova|10.84|834-04-0180|+1-914-469-7525x1983|Mark Martinez|6d908c9d-1204-4017-bc04-1717a150c02a|3522490332644836|Mastercard|03/25|13265.87|Yen|0.007
Prime Dynamics|6.9|158-18-3235|+1-609-716-1805x63118|Chase Jordan|d075c0b1-4b23-4f33-9cc9-769641195f5c|3580956953558678|UnionPay|09/26|38805.58|Pesos Argentinos|0.0028
Apex Solutions|15.33|468-84-6042|+1-663-263-3340x068|Nicholas Combs|c54ad46e-a9d5-41b6-8a67-9c09495f0969|4933314801024612|UnionPay|07/28|48536.54|Yen|0.007
Visionary Labs|17.51|238-60-0760|(849)924-3085|Andre Brown|791ff218-5bbe-4594-9ead-feac361d835a|4185766446390721|Mastercard|03/28|1628.4|Dolar|1
EcoSolutions|3.42|274-84-4908|492.681.9057x43178|Kyle Schmidt|a1f49ad4-87cb-4650-99c8-651df769a596|4507731293627063|Visa|04/26|3671.55|Dolar|1
Skyline Ltd|13.81|221-78-8607|608-902-8744|Karen Burton|fd578640-07b1-422e-bfbb-359292b04d84|501839502892|Visa|09/28|83935.74|Euro|1.1
Skyline Ltd|2.07|612-10-8530|585-549-5783x60556|Ryan Prince|57d589a4-b0fb-4d4c-85d6-c8952fb6f8b8|3527874858203454|American Express|07/25|78767.35|Pesos Argentinos|0.0028
TechNova|4.56|874-59-2234|(813)182-1463x88151|Lauren Martin|152dea81-f81c-42c2-bc56-acb428882e2e|503822423995|Visa|03/25|83867.02|Dolar Canadiense|0.75
Skyline Ltd|10.29|612-23-5348|689-829-5842x67124|Brooke Anthony|bbdea017-1032-46ef-8e3f-c2102dc88624|374307604381936|Discover|11/27|15648.52|Yen|0.007
Skyline Ltd|2.37|240-24-4310|529-911-1819|William Kelley|4890c7b4-21cf-4637-838c-a968a32c5f74|4198585969637010|Mastercard|07/25|11201.32|Dolar Canadiense|0.75
NextGen Ventures|7.61|031-57-9822|+1-514-112-3380x71337|Charles Manning|6bd34aea-8a27-4346-9ef5-6af0db7e41bc|3532313271847525|Mastercard|06/26|13432.54|Libra|1.3
GreenWave Inc.|6.92|172-33-4253|+1-948-432-2007x2721|Jeffrey Miller|48cdd7d6-3d94-47a1-be33-fb2756f179c2|4871797406501|Mastercard|04/27|55346.36|Libra|1.3
Prime Dynamics|18.69|228-26-1367|267.119.6498|Robert Garza|106f50cc-e967-4790-95d3-8d264d5a4b40|4679237019521616|Discover|12/28|7744.52|Pesos Argentinos|0.0028
Apex Solutions|1.09|159-51-2899|+1-083-821-9622x5456|Christopher Bartlett|f084ea44-80f4-4755-9edd-6be11690c3a7|3513238540963451|UnionPay|11/28|89849.31|Dolar|1
Visionary Labs|11.05|192-80-4076|018.986.0450x07663|Leroy Thomas|14713b3d-5360-4147-b35a-6f2bb3a93819|4515215983601326235|Mastercard|10/25|9296.96|Real|0.19
Skyline Ltd|1.28|503-90-3910|620.680.9017|Kristy Hess|a5828928-e1d4-4fa4-ae98-333e970975c2|3502478483596818|Visa|08/25|73526.65|Yen|0.007
GlobalCorp|19.95|744-73-8504|658-830-1767|Sandra Wiggins|ecedc52d-3e44-443d-8f9d-34da7131f8dc|3522022405966208|American Express|04/26|1305.09|Euro|1.1
NextGen Ventures|2.8|443-09-5419|+1-795-822-0723|Melissa Stewart|3a28a6e8-a97b-4576-8ac6-66a7137c6002|30493134328047|Discover|09/25|93944.6|Pesos Argentinos|0.0028
Skyline Ltd|0.76|492-56-9747|001-589-308-4414|Adrienne Farmer|9db3a85a-f8c7-4d5e-982d-55f1fbcd5ad1|2224325863665532|Discover|04/27|15835.51|Real|0.19
BluePeak Systems|16.27|300-48-2681|1673359125|Robert Schneider|c04940d4-805e-4993-928b-ef73411c0c5f|4337060580513|Discover|02/27|84360.13|Yen|0.007
Skyline Ltd|5.0|740-82-0044|001-904-773-0568x61161|Brianna Hartman|f8953f9b-ddfd-4b49-8df1-c473bf74b36e|4094192442016311|Visa|09/26|38453.34|Euro|1.1
BluePeak Systems|5.28|393-99-7286|0643191984|Jeffrey Clark|8edc0589-4293-4b59-ad9d-a6359df40748|6506068899000346|American Express|09/26|57513.92|Real|0.19
TechNova|10.16|018-40-1820|+1-369-348-5769x50019|Lauren Hamilton|1647f2ce-b62a-435c-a1b1-c82420bc0d4e|213176649404523|Visa|09/27|19499.92|Yen|0.007
EcoSolutions|19.09|343-60-5824|862.754.2399x726|Paige Smith|41f9f092-e483-45f9-92d2-623dad5de431|4837796261808541|Discover|04/29|98451.82|Pesos Argentinos|0.0028
Prime Dynamics|5.59|518-43-2641|(531)701-5056x19216|Ashley James|88e95ef5-7d84-4efe-8cb0-a2e1037a5589|6011659625368631|Mastercard|09/25|25836.54|Yen|0.007
NextGen Ventures|15.34|854-25-5209|7666876275|William Shelton|62b5b599-1322-4099-a138-2067a9bf4c6b|213121627234625|American Express|04/26|98486.93|Dolar|1
Apex Solutions|1.49|652-07-2672|114.572.8179|Jamie Bennett|1d0736c2-4a9d-4d4c-803b-0cbdad79db1e|4123766042687210|American Express|06/29|28040.96|Dolar Canadiense|0.75
Prime Dynamics|7.44|520-87-4159|869.424.8660x480|Kayla Hall|e9128305-f82e-4336-89c6-c5b49ecdb0f4|3581999508923368|Mastercard|08/27|824.1|Yen|0.007
Skyline Ltd|4.63|266-05-3980|+1-841-395-2651x445|Ann Nguyen|dfabb5a5-3f6a-4bae-963a-113776a35ccf|3577177002621038|American Express|04/28|89689.86|Libra|1.3
BluePeak Systems|3.62|770-53-8714|5988986270|Cindy James|f71b7625-a7a7-4c9f-ac6c-722bbcf8ed65|4670771089525575268|UnionPay|06/28|14098.61|Yen|0.007
GreenWave Inc.|2.77|151-08-6662|098-787-2126x15930|Brian Padilla|0432ec0c-a12a-4c92-9f43-032e56b0a38d|370864596112590|UnionPay|11/27|7259.95|Euro|1.1
GlobalCorp|2.7|429-15-7055|814-286-2634|Jose Torres|5a5aa0a1-118b-4fb6-9e5e-5445473618db|213166132512379|American Express|09/27|3646.84|Libra|1.3
EcoSolutions|18.38|791-72-7277|747-001-7494x6915|Lynn Morales|57528de3-4433-4f91-bf30-9f45f4bdcdb2|6595077253456541|American Express|02/27|96043.34|Dolar|1
NextGen Ventures|13.68|484-68-7847|+1-561-004-3398x221|Mr. Lawrence Kelly|bac7f729-011b-4802-b1f1-4b3a858cb87b|38450600853884|UnionPay|01/26|95288.7|Real|0.19
EcoSolutions|18.07|423-51-2504|(422)329-3698x8014|Mason Allen|50470271-6e61-4816-b0fb-ddb9f7caf245|4554410510032363|Discover|08/25|22060.23|Real|0.19
Apex Solutions|7.63|277-80-9166|(608)327-0255|Erin Vaughn|a26a9738-cf06-482b-bcf6-e8511476da49|30558089833629|UnionPay|12/25|2206.13|Real|0.19
GreenWave Inc.|4.29|406-05-0776|001-964-730-6670x63660|Carl Johns Jr.|2a7e1610-e6dd-4d47-b62c-8417e6dfeb81|5351018242733356|UnionPay|12/27|20832.07|Real|0.19
GreenWave Inc.|2.5|729-10-4155|001-987-111-6348x24763|Laura Mcconnell|1468c980-b002-41b4-ae57-badd1332ea75|36025894130421|UnionPay|10/29|66521.17|Real|0.19
Visionary Labs|12.1|313-23-3210|(401)780-0180x329|Heather Shepard|1d9af4bf-4311-4e25-a56b-7d2f2c6fabf8|502095182882|Discover|10/27|2722.58|Dolar|1
Visionary Labs|13.51|700-30-0680|001-047-700-6856x21383|Christopher Ryan Jr.|32bdbf29-cdb3-48d9-8935-e1f3665d764c|30209234437953|Visa|04/27|20766.51|Dolar Canadiense|0.75
TechNova|15.43|159-10-6386|001-087-300-6199x78597|Daniel Williams|5d20deb7-dac9-4960-8195-87fd9a7bd109|4355387552292959|UnionPay|09/26|1802.14|Libra|1.3
Prime Dynamics|3.32|387-45-7008|001-555-000-6986x88233|Christina Wilson|8105e022-6b5e-4d34-8208-711782eea7b2|3577464666518043|UnionPay|02/27|21695.4|Euro|1.1
GreenWave Inc.|12.06|827-12-9991|(975)888-4869x31714|Christopher Edwards DDS|f2d8a081-eceb-43e3-83e9-c94c8ea88dd6|3593396231019117|American Express|06/26|44874.38|Dolar Canadiense|0.75
NextGen Ventures|19.94|505-90-4289|001-092-621-9449x973|Justin Le|ef878fb1-2ef4-40ba-92d0-0800d6e0fa24|2252836339179390|American Express|09/26|41785.73|Dolar|1
BluePeak Systems|6.29|574-82-1161|+1-696-158-1602x210|Jonathan Butler|ece19e8d-f76a-4521-8dbd-736f1dbc4339|180092319697958|Discover|02/28|5058.74|Pesos Argentinos|0.0028
Skyline Ltd|18.46|124-90-9300|+1-450-210-4985x198|Ariel Stein|278eda22-c5a4-4046-ae3d-293db1f5f5a1|4730834535613286|Visa|08/29|8930.68|Euro|1.1
Prime Dynamics|11.77|866-79-6684|001-167-020-2818|Laura Wallace|28112102-35b4-4411-9c2a-36d30701223e|569654948789|UnionPay|12/26|30140.44|Pesos Argentinos|0.0028
GlobalCorp|12.52|447-56-4318|001-695-313-7203x3683|Steven Blevins|5014e6a1-1423-49fc-9465-6f75398ce913|6572996292211087|Mastercard|03/27|47838.59|Libra|1.3
GreenWave Inc.|15.5|568-25-0957|094-042-4694x0437|Joel Williams|de76e053-3c35-4aac-93c7-e2a516002bb7|180014507489022|American Express|11/25|87959.68|Dolar Canadiense|0.75
NextGen Ventures|18.72|211-59-3151|001-248-960-2470x768|Kevin Wright|d04195e4-551d-448c-b31a-ff0221d07db8|3586297559885593|Discover|12/27|88654.92|Dolar Canadiense|0.75
EcoSolutions|8.59|645-42-2482|+1-919-060-7938x664|Kevin Guerrero|5c14b15b-e1db-46f1-99e4-98ce924177a9|676274107868|Mastercard|10/29|96542.82|Euro|1.1
TechNova|13.58|328-91-4380|6186509751|Aimee Bradley|0f2b6e2d-8e82-4de3-9e3b-0f6c17519af9|3508833578000460|UnionPay|05/28|83623.97|Yen|0.007
GreenWave Inc.|17.59|415-67-3446|032-757-3651x3090|Joanna Bauer|f058ffd5-44fd-41d8-b651-0b5867461ad9|342748501376793|UnionPay|08/28|69415.84|Real|0.19
TechNova|4.41|048-50-1994|915.622.2563x164|Rhonda Walters|fe295fde-6686-4678-b72b-788c6cd408d5|561095793502|UnionPay|02/27|89791.22|Dolar Canadiense|0.75
Apex Solutions|3.35|133-19-9577|034-049-4191x6687|Leslie Cummings|64cde53c-8685-427d-a3ac-e611415850e7|3592949028683627|Discover|06/28|75663.36|Pesos Argentinos|0.0028
BluePeak Systems|9.38|155-80-1947|001-758-894-2009|Taylor Patton|045969e1-a89f-47d4-a8b4-c5a6a3d2abe5|3575915633509557|Mastercard|03/29|5254.05|Euro|1.1
Visionary Labs|4.24|203-77-4035|(286)167-3676x940|Victoria Bartlett|6763a3d8-468d-4bc7-994c-c2c9e46040e1|6011969326579026|Visa|01/29|33283.91|Dolar|1
TechNova|18.38|553-46-1189|309-406-4958x15188|Katie Hughes|ba2df68b-ad48-4ec1-9e72-95ec98a17a28|6583508687889968|Mastercard|07/26|44068.97|Pesos Argentinos|0.0028
BluePeak Systems|8.67|038-90-3846|4486756616|John Oconnor|44cb630b-51fe-4e05-b03e-1ee54219025c|4946836156786|Mastercard|12/24|9360.54|Dolar Canadiense|0.75
GlobalCorp|11.21|401-58-3836|2889893837|Matthew Ruiz|5b452acb-669e-44f1-b701-ac280e6126b6|2238835387854218|Mastercard|06/27|304.06|Dolar|1
Visionary Labs|16.63|899-72-4296|617-796-5998x1694|Dean Bowen|a614ec96-84cb-4b72-82a2-70f1d3ba286a|4137263574527242095|Visa|04/27|44297.35|Dolar Canadiense|0.75
NextGen Ventures|16.99|388-92-8730|(086)680-3556|Frank Walker|65e57bb3-006a-4956-abf0-42e41a2a5b71|3554952900420163|Visa|09/29|73857.85|Dolar Canadiense|0.75
Apex Solutions|17.2|888-23-2745|001-714-342-5382|Anthony Lucas|14a83b45-e0e5-4770-b079-fefb9693689d|6011497755778141|Mastercard|09/25|62191.37|Pesos Argentinos|0.0028
TechNova|6.61|258-06-1908|+1-009-175-7857|Kenneth Smith|0af997ff-6384-4e6d-b9ac-9f1bba5a127d|6502799348943751|UnionPay|11/27|27731.78|Dolar Canadiense|0.75
Visionary Labs|3.5|709-80-8010|(288)186-7193x49631|Laura Perez|dda74406-3519-413a-97ec-8872fecb8076|3594046654034635|Mastercard|06/25|80944.69|Dolar|1
Prime Dynamics|8.5|367-01-2236|508.810.4676x872|Adrian Moyer|d3dd46fc-8a13-4d3e-aa6f-e081f9808099|6538458597820743|American Express|10/26|18025.01|Pesos Argentinos|0.0028
Visionary Labs|12.39|331-27-7842|970-597-5494x79588|Anna Taylor|00e1d3fa-0253-475e-a954-2b2f6e6fe73f|4411235238463814705|Mastercard|05/29|41952.65|Dolar|1
GlobalCorp|13.09|682-42-2831|(873)360-2241|Douglas Johnson|7bcb5402-da20-4e1c-81ba-03d8124c497f|501823304875|American Express|05/28|78508.7|Yen|0.007
Prime Dynamics|9.33|020-84-8408|+1-195-932-9311x7505|Jenny Welch|bf0d60e4-c900-4e3d-a2f2-ec7da571c172|4784870786840|Mastercard|06/28|90308.92|Dolar|1
TechNova|15.91|202-79-4748|001-916-400-1012x04209|Nathaniel Marsh|b635f280-487d-4b57-9282-a3feea8e6adc|3554738569571390|American Express|07/25|89005.84|Pesos Argentinos|0.0028
Apex Solutions|12.93|468-06-3132|165-864-9519x889|Timothy Leonard|5abfcf79-cde2-4fee-8fe5-0c4f88ff17f8|4069334505105|UnionPay|12/27|32006.81|Libra|1.3
Skyline Ltd|15.78|695-22-8431|540.383.9718|Noah Ryan|b6e102be-412a-4b5e-8222-870e8750d71c|379930756727815|Visa|12/26|35536.44|Real|0.19
Prime Dynamics|8.05|344-81-8494|596-588-1884x25372|Diana Thomas|c8642f88-cd52-4f12-99a3-424d75470c8c|344800710580687|American Express|05/29|30090.49|Libra|1.3
TechNova|17.49|274-04-7722|180.355.2826|Joann Weeks|470af8c6-e87b-4279-ba13-76544d46449a|30502428339625|UnionPay|08/26|74455.09|Dolar|1
Apex Solutions|1.03|352-78-7625|2561196578|Annette Schneider|11f433f7-3ae4-4aec-8c64-e5e3e8725db0|30548241618190|American Express|05/26|11072.72|Libra|1.3
EcoSolutions|8.78|111-88-3240|(396)440-7037|Brandon Huffman|e7bb2ccf-8ff9-4bf6-b25c-389f5d5db719|180096429805542|Visa|03/26|21399.53|Pesos Argentinos|0.0028
BluePeak Systems|3.87|781-38-2703|+1-852-370-7246x09861|James Middleton|621bc01d-8402-4c94-b830-2a493138349f|2236424726346830|Visa|02/25|71904.94|Dolar Canadiense|0.75
Skyline Ltd|15.84|836-09-7621|(366)015-8383x573|Sheila Lee|08974d98-0fcb-4dea-80bd-188541a692b0|4673828166495780|Discover|08/29|80324.64|Euro|1.1
